temperature_2m,relative_humidity_2m,wind_speed_10m,crop_days,crop_type,soil_moisture,soil_type,water_irrigation_amount_log
36.18764001091077,57.74801263571896,22.29163764267956,93,Grapes,9.841125713148417,loamy,3.08601400985407
41.372816083151285,30.70239852800136,33.1261142176991,8,Potatoes,14.057056887554005,sandy,2.306071775528788
44.47547746402069,71.77958154373259,9.93578407670862,45,Grapes,5.387561937184185,loamy,3.037396510839879
24.01480892728447,55.06204575811069,34.775804321306374,63,Olives,11.162398325779844,loamy,2.091123262899063
13.737617488673344,43.3207958296293,44.16401294594341,134,Olives,15.2060031087376,loamy,0.7076490529714795
22.08431154505025,75.44118127379944,43.036529162817175,129,Grapes,5.449549529857123,loamy,2.0677621384391665
19.80634801021777,11.236529322309394,46.415928129386266,46,Wheat,18.49777075216676,clay,0.8056182688462548
20.40390914407701,78.09093372134855,15.846100257813884,116,Potatoes,9.62925799826143,clay,2.174595545389435
7.816645233981756,26.71349740922881,33.55717584120253,58,Tomatoes,17.360986896745114,loamy,0.05687405112546389
10.464853257681153,66.71287975280949,27.640998845395387,17,Corn,14.16924509046275,sandy,0.2385725594826639
20.02331810559776,17.51855518726952,28.9140070498087,115,Potatoes,5.0,clay,1.110041176035166
39.41618473246701,30.020108841269124,1.94173672147116,125,Tomatoes,17.2383155254987,loamy,2.193281442715483
13.632841099873726,59.83123806552002,4.2673732496884,8,Wheat,7.5017743196185425,sandy,0.6577955539418097
43.78147468456636,67.16760833439616,2.053375838393789,52,Grapes,17.33489949743697,loamy,3.3306621461913952
43.505936587117006,76.87840964097647,34.798710304684896,90,Grapes,17.375314176240636,sandy,3.7065751458479466
17.45653237565177,88.36084228972068,8.766513494466926,69,Potatoes,5.528095522022932,sandy,2.319658571469029
39.25959364753289,62.6954905295156,8.146721354071484,147,Corn,7.429036109857664,loamy,2.6879170834883883
37.03797178729599,64.17346739063854,28.668352083596663,128,Potatoes,9.968966873755049,clay,2.999592827877617
43.44762255295657,82.4280513564851,9.78955673946482,12,Olives,9.361594415652863,loamy,2.7836850436812455
31.228905415229686,40.83172967724521,34.08068344863949,35,Olives,16.752530050836572,loamy,2.2237110747976367
10.719667282113434,70.92085053739778,30.910903165813053,75,Olives,7.119175286805467,loamy,0.8659042661450917
44.44004255291483,70.27025482071534,18.81297927654579,145,Potatoes,6.214906675716296,clay,3.2489133300845365
18.21010116076394,44.75614755906171,12.684108693656936,91,Grapes,18.7595205907949,sandy,1.6571782802959758
34.76846627773192,64.48315416775273,11.875323564623496,61,Potatoes,17.637832032705127,clay,3.3686409554005112
41.610173666764254,86.6961925926277,2.89319488788537,144,Cotton,17.43816916341723,clay,3.420340008375442
14.175789828197988,31.27503399713912,18.017254760263413,90,Potatoes,15.557780841947505,loamy,1.024614554967394
27.763258766629907,15.080946367200108,1.841093381799569,86,Grapes,8.339690140868916,clay,1.3819335590075135
17.311089590841977,75.31085881704499,48.39868827199116,118,Grapes,9.137356378209374,loamy,1.8583886406986947
14.605824751127724,16.06906624869311,6.443986095532461,126,Olives,8.091091485132525,loamy,0.42571541900644927
16.143613561278343,24.160838742139745,4.43512668785278,21,Cotton,7.312330680173505,clay,0.5228628192697744
18.497873354876724,81.97179177160098,30.37776111467864,83,Wheat,14.638151226464476,loamy,2.3625033453684483
9.07129890481615,22.22873113474656,12.297886419225406,121,Olives,12.489754250623063,loamy,0.26841513297933467
10.37658707755897,15.06999763782142,49.49801161949726,134,Wheat,14.728249322304652,sandy,0.18982219192997668
35.02007699061254,73.96297047356126,41.25663383463986,72,Olives,12.984436075667428,loamy,3.1797919468762355
25.108815603699167,28.577015611745384,44.978728663728425,97,Olives,18.727022360508656,sandy,1.8134307660904978
42.59328494453901,60.21664424571343,16.745280732854305,39,Cotton,7.91221250563061,loamy,3.0743325350417137
33.279218449738366,72.28575512406009,7.156399277423481,38,Wheat,12.507951424967295,sandy,2.7494582561480403
37.85029218688052,18.85053895641657,42.32261458672591,74,Cotton,8.034165896614839,loamy,2.5404628789055237
19.97741478881688,15.513723149377505,3.8660532744393614,106,Grapes,9.79048520822575,clay,0.5704291019083383
7.190465552881253,36.81577933167208,40.14267242990057,143,Cotton,6.827458758645471,clay,0.2391233728936401
43.442812698778205,21.89301822024904,20.731206186351187,49,Corn,8.989670401443767,clay,2.0869380846311625
20.89272461830392,44.14311242693995,39.98910110371347,1,Grapes,16.684990460337595,sandy,1.3437238260138533
18.37451245241929,16.040269104311136,37.66231103737254,63,Corn,13.830516064704836,loamy,1.171334698857015
36.996643414927576,24.28357296434669,32.63730539259374,72,Cotton,13.096708889167134,sandy,2.621191726604523
38.20879458267967,41.77468236947639,33.40425682853231,32,Tomatoes,13.384668911683264,loamy,3.0002400160321963
16.778630381676706,85.87626455697253,38.18028970798804,137,Tomatoes,8.853748501967791,sandy,1.9205501731475385
44.37608722814208,52.05521458421487,8.583964292415175,22,Tomatoes,14.519665918148412,loamy,3.0241829314514606
19.15485506244998,86.69017418505764,9.218546033948162,122,Wheat,8.518300301525166,loamy,1.4660605650693401
15.885805489198509,57.21845334952697,18.04869484700134,108,Corn,9.382232357937678,loamy,0.926842403459154
28.85079513928212,28.40070698301624,6.0283442888639405,103,Cotton,8.516437098203987,clay,1.4528115257332854
21.71067128669335,43.70856018216561,36.879115079444574,121,Potatoes,13.346992893286878,loamy,1.720950996039344
28.564341378835792,32.18125165574189,45.51695510287672,68,Tomatoes,6.112637901828387,loamy,2.534903801199391
25.730414667055687,57.78192579442728,26.25157504301341,47,Tomatoes,13.170384585586936,loamy,2.3905018919618684
20.64679064321519,31.8367499885052,23.83384141651842,98,Olives,6.781708497677592,sandy,1.3330586935778117
34.40850618093811,32.51127684620214,12.632454698044254,40,Wheat,5.0,loamy,2.228801890470461
18.91236831608772,64.24129220472508,28.28659819978955,115,Olives,13.457689013495774,sandy,1.6716778985720362
43.4526115273963,47.23760070159869,43.95357401140658,7,Potatoes,5.716648121485347,loamy,2.9554820717664168
38.28536711830968,50.597418700866896,0.319293585841679,82,Grapes,15.377045390921456,sandy,2.9962708865618644
20.06781447947195,10.725792372217995,40.93397102499209,17,Wheat,8.091174855343777,loamy,0.4082717096474246
12.179892936953337,70.29590672404154,39.440349093537215,63,Corn,9.087658349118833,sandy,1.0707740339923375
28.28681840705093,37.67064455623654,31.045775888373857,12,Wheat,7.093010049251977,sandy,1.3491261420651361
30.902945736076305,57.55166873828362,19.18061302028109,29,Grapes,7.288124545663644,clay,2.444012452828866
11.35753133107026,47.48315334148675,47.21518174789149,58,Grapes,10.144981939841417,clay,1.0802046443208315
14.901598224135007,54.67301380665583,11.277007122186772,17,Grapes,11.840161587840058,sandy,0.7612387260243318
17.41447835694295,46.4176119265441,0.5810269954050318,130,Olives,9.376456142208674,sandy,1.168666734427064
8.514659965793335,38.050154496734464,1.6601554395683282,97,Corn,6.412305959013525,sandy,0.4186670447038858
34.263580870213275,16.530398562447168,3.01760419952819,127,Cotton,14.902792900380575,clay,1.4276693723939637
18.29258501420436,53.3982908575494,24.66384233918998,146,Tomatoes,8.443560018687682,loamy,1.5145093454581944
36.71824378422527,62.40074710656869,49.606665817033615,66,Potatoes,13.188553993784408,clay,3.82953924858542
21.52124698590788,15.530622894929555,21.85826944084133,78,Tomatoes,9.67582836005174,clay,1.3899196692141345
11.54095490340091,41.286522932140855,48.470616116764376,84,Grapes,12.23316875426368,clay,1.1350200716257237
14.386961530462044,80.69677357286021,22.101218689142875,45,Wheat,16.23644937580842,clay,1.2213888704717137
14.948570903505196,59.371598928322406,35.33886084427229,105,Tomatoes,9.367723058245383,clay,1.3927569602653849
37.22680611800213,56.82834915174017,43.41356402566293,49,Grapes,13.938707530602295,clay,3.151835934580893
14.245236497105864,14.135746979322157,32.00014834184569,130,Tomatoes,13.382843499695602,clay,0.367816042226667
